10,24,25,25
11,34,22,30
12,10,26,27
9,8,27,35
9,118,24,42
11,80,23,45
14,30,24,33
10,14,25,51
15,24,21,45
8,50,22,34
10,60,24,34
16,43,25,23
10,48,21,40
15,50,22,45
15,118,21,32
15,120,22,32
10,116,23,23
9,8,24,42
13,38,25,42
8,240,26,51
12,8000,20,28
11,129,22,23
10,6789,22,33
9,23,21,30
8,123,24,41
13,12,23,42
14,78,22,32
16,2789,24,38
11,878,21,41
10,2718,20,35
7,889,25,38
9,8011,22,42
12,890,25,44
13,81,24,56
15,7281,23,56
10,789,22,32
11,123,21,42
10,24,23,46
11,128,21,51
12,129,25,53
9,12,26,23
9,891,23,28
11,128,21,32
14,1293,22,31
10,1823,22,43
15,12,21,34
8,89,24,36
10,27,23,40
16,891,23,42
10,128,24,41
15,123,21,38
15,8912,22,43
15,891,21,53
10,89,22,28
9,123,22,28
13,90,23,27
8,891,23,30
12,891,23,34
11,83,23,43
10,81,22,40
9,891,21,38
8,28,22,32
13,74,24,28
14,234,24,26
16,43,21,22
11,123,22,34
10,123,23,34
7,89,23,42
9,90,21,21
12,113,22,23
13,123,23,45
15,908,23,32
10,8971,24,56
11,902,25,32
10,90,24,45
11,123,24,21
12,24,23,32
9,12,23,33
10,11,21,44
16,9012,21,21
10,100,22,36
15,12,22,32
15,321,22,56
15,90,22,43
10,24,22,47
9,12,24,27
11,81,25,35
10,90,21,53
9,119,23,22
8,112,23,32
13,90,25,35
14,891,20,43
16,87,23,52
11,121,24,32
10,80,21,46
7,891,21,21
9,19,23,23
12,901,22,45
13,98,22,52
15,891,24,34
36,10,25,42
35,7,23,56
34,24,22,53
32,68,21,32
40,24,21,23
45,12,21,28
38,4,22,38
42,2,24,24
38,9,25,53
40,12,25,48
37,14,26,34
38,8,20,31
41,9,20,22
38,7,21,24
39,14,21,42
40,8,22,37
42,4,23,34
37,14,23,43
43,17,22,23
38,4,22,27
36,8,22,43
36,19,22,46
41,22,23,27
40,14,21,35
39,20,23,45
36,19,21,46
38,24,22,28
38,28,22,34
41,9,22,32
40,34,24,27
40,48,24,37
37,14,22,41
36,18,22,40
35,9,22,39
34,14,23,37
32,5,21,27
40,29,21,24
45,1,22,31
38,25,22,53
42,39,22,43
38,25,23,44
40,30,24,24
37,48,21,34
38,6,21,28
41,13,24,34
38,20,22,32
39,17,23,45
40,28,23,32
42,16,23,35
37,12,22,46
43,5,21,28
38,210,21,22
36,18,22,27
36,40,22,34
41,8,22,28
40,14,24,30
39,10,25,40
36,48,21,37
38,60,22,34
38,28,22,32
41,12,21,30
40,10,24,42
40,10,24,47
37,8,23,51
36,50,22,48
35,38,22,46
34,30,22,36
32,78,21,35
40,80,21,32
45,48,22,22
38,75,22,27
42,12,23,43
38,40,22,24
40,14,23,37
37,28,24,27
38,48,25,31
41,12,24,38
38,56,24,28
39,80,22,44
40,18,22,24
42,8,21,35
37,68,23,42
43,12,23,46
38,40,22,28
36,48,21,32
36,56,20,28
41,18,24,34
40,22,24,42
39,40,22,45
36,50,21,51
38,46,22,53
38,38,24,34
41,8,23,31
40,20,22,25
40,18,21,21
37,48,20,44
41,12,23,52
42,9,23,37
40,180,22,42
37,13,22,44
25,1000,21,54
24,720,22,43
28,890,22,37
30,2000,21,29
29,8000,24,34
26,17000,24,32
26,8700,23,37
29,7200,24,43
28,8900,23,47
31,12000,22,51
31,13400,22,43
27,9200,22,24
30,9200,23,36
32,12800,22,32
23,10000,22,28
23,18760,23,21
25,13000,24,45
27,9200,21,54
28,9600,21,35
29,18000,22,21
31,12000,22,45
22,15600,21,26
28,890,20,23
27,990,22,54
29,1200,22,23
29,3200,23,21
37,14000,23,32
25,7200,22,36
24,6800,21,43
28,12000,21,57
30,11200,22,31
29,9200,23,20
26,12100,24,45
26,18000,24,37
29,9800,22,35
28,11000,22,37
31,12100,23,28
31,8900,23,35
27,7600,22,38
30,17600,21,28
32,12100,21,46
23,1280,22,44
23,8900,23,39
25,7800,23,31
27,11000,24,29
28,14800,21,32
29,17800,21,25
31,14000,22,42
22,12800,22,40
28,10800,21,27
27,9800,23,33
29,8700,24,34
29,12100,25,52
31,11000,25,45
32,9800,21,43
24,18000,20,23
24,18100,22,33
30,7600,22,41
30,12300,22,21
37,7800,23,32
25,12100,22,34
24,8400,23,36
28,14200,24,42
30,8700,21,46
29,9200,21,51
26,11000,22,36
26,18200,24,42
29,8900,22,43
28,9800,21,41
31,10800,21,27
31,7600,22,26
27,14100,23,45
30,9800,24,43
32,8900,25,52
23,12800,23,38
23,11000,24,27
25,12800,25,47
27,9800,22,50
28,9200,22,26
29,12800,21,38
31,8900,21,33
22,13400,22,29
28,13700,22,31
27,14000,23,41
29,15600,23,40
29,8700,21,37
27,13800,22,34
29,11200,22,35
28,14000,24,32
28,16000,23,24
30,8900,22,29
30,18100,21,34
31,19000,21,43
27,11300,22,41
27,4000,22,46
24,16700,23,37
25,8500,21,27
25,18000,22,33
27,9000,21,37
30,4890,22,43
